IGG,color
G1,#7fff00
G10,#d57a0c
G100,#a703a7
G101,#008080
G102,#2c5aa0
G103,black
G104,#006400
G105,black
G106,#0000aa
G107,#b72b2b
G108,#7fffd4
G109,black
G11,#006400
G110,#c8b7b7
G111,#1e90ff
G112,black
G113,black
G114,black
G115,black
G116,black
G117,black
G118,black
G119,black
G12,black
G13,#98fb98
G14,#1e90ff
G15,black
G16,#ff0000
G17,#5f5fd3
G18,#c71585
G19,#87ceeb
G2,#da70d6
G20,#afafe9
G21,black
G22,#c8b7b7
G23,#6600ff
G24,black
G25,#20b2aa
G26,black
G27,black
G28,#add8ed
G29,black
G3,#db7093
G30,#ffd700
G31,#4b0082
G32,#00bfff
G33,black
G34,black
G35,black
G36,#e3dbde
G37,black
G38,black
G39,black
G4,#dda0dd
G40,black
G41,black
G42,#6c535d
G43,#f94d4d
G44,black
G45,#e14c24
G46,#1e90ff
G47,black
G48,#8d5fd3
G49,black
G5,black
G50,#5f8dd3
G51,black
G52,#ffff00
G53,#6c535d
G54,black
G55,black
G56,black
G57,black
G58,black
G59,black
G6,black
G60,black
G61,black
G62,black
G63,#2a2aff
G64,#b380ff
G65,#483737
G66,#483737
G67,#00bfff
G68,black
G69,#9acd32
G7,#db7093
G70,black
G71,#1e90ff
G72,black
G73,black
G74,black
G75,#228b22
G76,black
G77,#ac939d
G78,#afafe9
G79,#40e0d0
G8,#a703a7
G80,black
G81,black
G82,black
G83,black
G84,#c8b7b7
G85,black
G86,#3cb371
G87,#ff8c00
G88,#66cdaa
G89,#ffc0cb
G9,black
G90,black
G91,black
G92,black
G93,black
G94,black
G95,black
G96,black
G97,#00ff7f
G98,black
G99,black
